[56675][ 47][228]=30604241614040404
[56676][ 47][229]=30604241614040406
[56677][ 47][230]=30604241614040424
[56678][ 47][231]=30604241614040426
[56679][ 47][232]=30604241614040604
[56680][ 47][233]=30604241614040606
[56681][ 47][234]=30604241614040624
[56682][ 47][235]=30604241614040626
[56683][ 47][236]=30604241614042404
[56684][ 47][237]=30604241614042406
[56685][ 47][238]=30604241614042424
[56686][ 47][239]=30604241614042426
[56687][ 47][240]=30604241614042604
[56688][ 47][241]=30604241614042606
[56689][ 47][242]=30604241614042624
[56690][ 47][243]=30604241614042626
[56691][ 47][244]=30604241614060404
[56692][ 47][245]=30604241614060406
[56693][ 47][246]=30604241614060424
[56694][ 47][247]=30604241614060426
[56695][ 47][248]=30604241614060604
[56696][ 47][249]=30604241614060606
[56697][ 47][250]=30604241614060624
[56698][ 47][251]=30604241614060626
[56699][ 47][252]=30604241614062404
[56700][ 47][253]=30604241614062406
[56701][ 47][254]=30604241614062424
[56702][ 47][255]=30604241614062426
[56703][ 47][256]=30604241614062604
[56704][ 47][257]=30604241614062606
[56705][ 47][258]=30604241614062624
[56706][ 47][259]=30604241614062626
[56707][ 47][260]=30604241614240404
[56708][ 47][261]=30604241614240406
[56709][ 47][262]=30604241614240424
[56710][ 47][263]=30604241614240426
[56715][ 47][268]=30604241614242404
[56716][ 47][269]=30604241614242406
[56717][ 47][270]=30604241614242424
[56718][ 47][271]=30604241614242426
[56719][ 47][272]=30604241614242604
[56720][ 47][273]=30604241614242606
[56721][ 47][274]=30604241614242624
[56722][ 47][275]=30604241614242626
[56723][ 47][276]=30604241614260404
[56724][ 47][277]=30604241614260406
[56725][ 47][278]=30604241614260424
[56726][ 47][279]=30604241614260426
[56727][ 47][280]=30604241614260604
[56728][ 47][281]=30604241614260606
[56729][ 47][282]=30604241614260624
[56730][ 47][283]=30604241614260626
[56731][ 47][284]=30604241614262404
[56732][ 47][285]=30604241614262406
[56733][ 47][286]=30604241614262424
[56734][ 47][287]=30604241614262426
[56735][ 47][288]=30604241614262604
[56736][ 47][289]=30604241614262606
[56737][ 47][290]=30604241614262624
[56738][ 47][291]=30604241614262626
[56739][ 47][292]=30604241616040404
[56740][ 47][293]=30604241616040406
[56741][ 47][294]=30604241616040424
[56742][ 47][295]=30604241616040426
[56743][ 47][296]=30604241616040604
[56744][ 47][297]=30604241616040606
[56745][ 47][298]=30604241616040624
[56746][ 47][299]=30604241616040626
[56747][ 47][300]=30604241616042404
[56748][ 47][301]=30604241616042406
[56749][ 47][302]=30604241616042424
[56750][ 47][303]=30604241616042426
[56751][ 47][304]=30604241616042604
[56752][ 47][305]=30604241616042606
[56753][ 47][306]=30604241616042624
[56754][ 47][307]=30604241616042626
[56755][ 47][308]=30604241616060404
[56756][ 47][309]=30604241616060406
[56757][ 47][310]=30604241616060424
[56758][ 47][311]=30604241616060426
[56759][ 47][312]=30604241616060604
[56760][ 47][313]=30604241616060606
[56761][ 47][314]=30604241616060624
[56762][ 47][315]=30604241616060626
[56763][ 47][316]=30604241616062404
[56764][ 47][317]=30604241616062406
[56765][ 47][318]=30604241616062424
[56766][ 47][319]=30604241616062426
[56767][ 47][320]=30604241616062604
[56768][ 47][321]=30604241616062606
[56769][ 47][322]=30604241616062624
[56770][ 47][323]=30604241616062626
[56771][ 47][324]=30604241616240404
[56772][ 47][325]=30604241616240406
[56773][ 47][326]=30604241616240424
[56774][ 47][327]=30604241616240426
[57876][ 48][228]=30604241614040405
[57877][ 48][229]=30604241614040407
[57878][ 48][230]=30604241614040425
[57879][ 48][231]=30604241614040427
[57880][ 48][232]=30604241614040605
[57881][ 48][233]=30604241614040607
[57882][ 48][234]=30604241614040625
[57883][ 48][235]=30604241614040627
[57884][ 48][236]=30604241614042405
[57885][ 48][237]=30604241614042407
[57886][ 48][238]=30604241614042425
[57887][ 48][239]=30604241614042427
[57888][ 48][240]=30604241614042605
[57889][ 48][241]=30604241614042607
[57890][ 48][242]=30604241614042625
[57891][ 48][243]=30604241614042627
[57892][ 48][244]=30604241614060405
[57893][ 48][245]=30604241614060407
[57894][ 48][246]=30604241614060425
[57895][ 48][247]=30604241614060427
[57896][ 48][248]=30604241614060605
[57897][ 48][249]=30604241614060607
[57898][ 48][250]=30604241614060625
[57899][ 48][251]=30604241614060627
[57900][ 48][252]=30604241614062405
[57901][ 48][253]=30604241614062407
[57902][ 48][254]=30604241614062425
[57903][ 48][255]=30604241614062427
[57904][ 48][256]=30604241614062605
[57905][ 48][257]=30604241614062607
[57906][ 48][258]=30604241614062625
[57907][ 48][259]=30604241614062627
[57908][ 48][260]=30604241614240405
[57909][ 48][261]=30604241614240407
[57910][ 48][262]=30604241614240425
[57911][ 48][263]=30604241614240427
[57916][ 48][268]=30604241614242405
[57917][ 48][269]=30604241614242407
[57918][ 48][270]=30604241614242425
[57919][ 48][271]=30604241614242427
[57920][ 48][272]=30604241614242605
[57921][ 48][273]=30604241614242607
[57922][ 48][274]=30604241614242625
[57923][ 48][275]=30604241614242627
[57924][ 48][276]=30604241614260405
[57925][ 48][277]=30604241614260407
[57926][ 48][278]=30604241614260425
[57927][ 48][279]=30604241614260427
[57928][ 48][280]=30604241614260605
[57929][ 48][281]=30604241614260607
[57930][ 48][282]=30604241614260625
[57931][ 48][283]=30604241614260627
[57932][ 48][284]=30604241614262405
[57933][ 48][285]=30604241614262407
[57934][ 48][286]=30604241614262425
[57935][ 48][287]=30604241614262427
[57936][ 48][288]=30604241614262605
[57937][ 48][289]=30604241614262607
[57938][ 48][290]=30604241614262625
[57939][ 48][291]=30604241614262627
[57940][ 48][292]=30604241616040405
[57941][ 48][293]=30604241616040407
[57942][ 48][294]=30604241616040425
[57943][ 48][295]=30604241616040427
[57944][ 48][296]=30604241616040605
[57945][ 48][297]=30604241616040607
[57946][ 48][298]=30604241616040625
[57947][ 48][299]=30604241616040627
[57948][ 48][300]=30604241616042405
[57949][ 48][301]=30604241616042407
[57950][ 48][302]=30604241616042425
[57951][ 48][303]=30604241616042427
[57952][ 48][304]=30604241616042605
[57953][ 48][305]=30604241616042607
[57954][ 48][306]=30604241616042625
[57955][ 48][307]=30604241616042627
[57956][ 48][308]=30604241616060405
[57957][ 48][309]=30604241616060407
[57958][ 48][310]=30604241616060425
[57959][ 48][311]=30604241616060427
[57960][ 48][312]=30604241616060605
[57961][ 48][313]=30604241616060607
[57962][ 48][314]=30604241616060625
[57963][ 48][315]=30604241616060627
[57964][ 48][316]=30604241616062405
[57965][ 48][317]=30604241616062407
[57966][ 48][318]=30604241616062425
[57967][ 48][319]=30604241616062427
[57968][ 48][320]=30604241616062605
[57969][ 48][321]=30604241616062607
[57970][ 48][322]=30604241616062625
[57971][ 48][323]=30604241616062627
[57972][ 48][324]=30604241616240405
[57973][ 48][325]=30604241616240407
[57974][ 48][326]=30604241616240425
[57975][ 48][327]=30604241616240427
[59077][ 49][228]=30604241614040414
[59078][ 49][229]=30604241614040416
[59079][ 49][230]=30604241614040434
[59080][ 49][231]=30604241614040436
[59081][ 49][232]=30604241614040614
[59082][ 49][233]=30604241614040616
[59083][ 49][234]=30604241614040634
[59084][ 49][235]=30604241614040636
[59085][ 49][236]=30604241614042414
[59086][ 49][237]=30604241614042416
[59087][ 49][238]=30604241614042434
[59088][ 49][239]=30604241614042436
[59089][ 49][240]=30604241614042614
[59090][ 49][241]=30604241614042616
[59091][ 49][242]=30604241614042634
[59092][ 49][243]=30604241614042636
[59093][ 49][244]=30604241614060414
[59094][ 49][245]=30604241614060416
[59095][ 49][246]=30604241614060434
[59096][ 49][247]=30604241614060436
[59097][ 49][248]=30604241614060614
[59098][ 49][249]=30604241614060616
[59099][ 49][250]=30604241614060634
[59100][ 49][251]=30604241614060636
[59101][ 49][252]=30604241614062414
[59102][ 49][253]=30604241614062416
[59103][ 49][254]=30604241614062434
[59104][ 49][255]=30604241614062436
[59105][ 49][256]=30604241614062614
[59106][ 49][257]=30604241614062616
[59107][ 49][258]=30604241614062634
[59108][ 49][259]=30604241614062636
[59109][ 49][260]=30604241614240414
[59110][ 49][261]=30604241614240416
[59111][ 49][262]=30604241614240434
[59112][ 49][263]=30604241614240436
[59115][ 49][266]=30604241614240634
[59116][ 49][267]=30604241614240636
[59117][ 49][268]=30604241614242414
[59118][ 49][269]=30604241614242416
[59119][ 49][270]=30604241614242434
[59120][ 49][271]=30604241614242436
[59121][ 49][272]=30604241614242614
[59122][ 49][273]=30604241614242616
[59123][ 49][274]=30604241614242634
[EXTRA][735][  0]=30604241614242236
[EXTRA][735][  1]=30604241614242272
[EXTRA][735][  2]=30604241614242276
[EXTRA][735][  3]=30604241614242632
[59124][ 49][275]=30604241614242636
[59125][ 49][276]=30604241614260414
[59126][ 49][277]=30604241614260416
[59127][ 49][278]=30604241614260434
[59128][ 49][279]=30604241614260436
[59129][ 49][280]=30604241614260614
[59130][ 49][281]=30604241614260616
[59131][ 49][282]=30604241614260634
[59132][ 49][283]=30604241614260636
[59133][ 49][284]=30604241614262414
[59134][ 49][285]=30604241614262416
[59135][ 49][286]=30604241614262434
[59136][ 49][287]=30604241614262436
[59137][ 49][288]=30604241614262614
[59138][ 49][289]=30604241614262616
[59139][ 49][290]=30604241614262634
[59140][ 49][291]=30604241614262636
[59141][ 49][292]=30604241616040414
[59142][ 49][293]=30604241616040416
[59143][ 49][294]=30604241616040434
[59144][ 49][295]=30604241616040436
[59145][ 49][296]=30604241616040614
[59146][ 49][297]=30604241616040616
[59147][ 49][298]=30604241616040634
[59148][ 49][299]=30604241616040636
[59149][ 49][300]=30604241616042414
[59150][ 49][301]=30604241616042416
[59151][ 49][302]=30604241616042434
[59152][ 49][303]=30604241616042436
[59153][ 49][304]=30604241616042614
[59154][ 49][305]=30604241616042616
[59155][ 49][306]=30604241616042634
[59156][ 49][307]=30604241616042636
[59157][ 49][308]=30604241616060414
[59158][ 49][309]=30604241616060416
[59159][ 49][310]=30604241616060434
[59160][ 49][311]=30604241616060436
[59161][ 49][312]=30604241616060614
[59162][ 49][313]=30604241616060616
[59163][ 49][314]=30604241616060634
[59164][ 49][315]=30604241616060636
[59165][ 49][316]=30604241616062414
[59166][ 49][317]=30604241616062416
[59167][ 49][318]=30604241616062434
[59168][ 49][319]=30604241616062436
[59169][ 49][320]=30604241616062614
[59170][ 49][321]=30604241616062616
[59171][ 49][322]=30604241616062634
[59172][ 49][323]=30604241616062636
[59173][ 49][324]=30604241616240414
[59174][ 49][325]=30604241616240416
[59175][ 49][326]=30604241616240434
[59176][ 49][327]=30604241616240436
[59177][ 49][328]=30604241616240614
[59178][ 49][329]=30604241616240616
[60278][ 50][228]=30604241614040415
[60279][ 50][229]=30604241614040417
[60280][ 50][230]=30604241614040435
[60281][ 50][231]=30604241614040437
[60282][ 50][232]=30604241614040615
[60283][ 50][233]=30604241614040617
[60284][ 50][234]=30604241614040635
[60285][ 50][235]=30604241614040637
[60286][ 50][236]=30604241614042415
[60287][ 50][237]=30604241614042417
[60288][ 50][238]=30604241614042435
[60289][ 50][239]=30604241614042437
[60290][ 50][240]=30604241614042615
[60291][ 50][241]=30604241614042617
[60292][ 50][242]=30604241614042635
[60293][ 50][243]=30604241614042637
[60294][ 50][244]=30604241614060415
[60295][ 50][245]=30604241614060417
[60296][ 50][246]=30604241614060435
[60297][ 50][247]=30604241614060437
[60298][ 50][248]=30604241614060615
[60299][ 50][249]=30604241614060617
[60300][ 50][250]=30604241614060635
[60301][ 50][251]=30604241614060637
[60302][ 50][252]=30604241614062415
[60303][ 50][253]=30604241614062417
[60304][ 50][254]=30604241614062435
[60305][ 50][255]=30604241614062437
[60306][ 50][256]=30604241614062615
[60307][ 50][257]=30604241614062617
[60308][ 50][258]=30604241614062635
[60309][ 50][259]=30604241614062637
[60310][ 50][260]=30604241614240415
[60311][ 50][261]=30604241614240417
[60312][ 50][262]=30604241614240435
[60313][ 50][263]=30604241614240437
[60316][ 50][266]=30604241614240635
[60317][ 50][267]=30604241614240637
[60318][ 50][268]=30604241614242415
[60319][ 50][269]=30604241614242417
[60320][ 50][270]=30604241614242435
[60321][ 50][271]=30604241614242437
[60322][ 50][272]=30604241614242615
[60323][ 50][273]=30604241614242617
[EXTRA][735][  4]=30604241614242235
[EXTRA][735][  5]=30604241614242271
[EXTRA][735][  6]=30604241614242275
[EXTRA][735][  7]=30604241614242631
