[210175][175][  0]=30604241504062604
[210176][175][  1]=30604241504062606
[210177][175][  2]=30604241504062624
[210178][175][  3]=30604241504062626
[210179][175][  4]=30604241504240404
[210180][175][  5]=30604241504240406
[210181][175][  6]=30604241504240424
[210182][175][  7]=30604241504240426
[210183][175][  8]=30604241504240604
[210184][175][  9]=30604241504240606
[210185][175][ 10]=30604241504240624
[210186][175][ 11]=30604241504240626
[210187][175][ 12]=30604241504242404
[210188][175][ 13]=30604241504242406
[210189][175][ 14]=30604241504242424
[210190][175][ 15]=30604241504242426
[210191][175][ 16]=30604241504242604
[210192][175][ 17]=30604241504242606
[210193][175][ 18]=30604241504242624
[210194][175][ 19]=30604241504242626
[210195][175][ 20]=30604241504260404
[210196][175][ 21]=30604241504260406
[210197][175][ 22]=30604241504260424
[210198][175][ 23]=30604241504260426
[210199][175][ 24]=30604241504260604
[210200][175][ 25]=30604241504260606
[210201][175][ 26]=30604241504260624
[210202][175][ 27]=30604241504260626
[210203][175][ 28]=30604241504262404
[210204][175][ 29]=30604241504262406
[210205][175][ 30]=30604241504262424
[210206][175][ 31]=30604241504262426
[210207][175][ 32]=30604241504262604
[210208][175][ 33]=30604241504262606
[210209][175][ 34]=30604241504262624
[210210][175][ 35]=30604241504262626
[210211][175][ 36]=30604241506040404
[210212][175][ 37]=30604241506040406
[210213][175][ 38]=30604241506040424
[210214][175][ 39]=30604241506040426
[210215][175][ 40]=30604241506040604
[210216][175][ 41]=30604241506040606
[210217][175][ 42]=30604241506040624
[210218][175][ 43]=30604241506040626
[210219][175][ 44]=30604241506042404
[210220][175][ 45]=30604241506042406
[210221][175][ 46]=30604241506042424
[210222][175][ 47]=30604241506042426
[210223][175][ 48]=30604241506042604
[210224][175][ 49]=30604241506042606
[210225][175][ 50]=30604241506042624
[210226][175][ 51]=30604241506042626
[210227][175][ 52]=30604241506060404
[210228][175][ 53]=30604241506060406
[210229][175][ 54]=30604241506060424
[210230][175][ 55]=30604241506060426
[210231][175][ 56]=30604241506060604
[210232][175][ 57]=30604241506060606
[210233][175][ 58]=30604241506060624
[210234][175][ 59]=30604241506060626
[210235][175][ 60]=30604241506062404
[210236][175][ 61]=30604241506062406
[210237][175][ 62]=30604241506062424
[210238][175][ 63]=30604241506062426
[210239][175][ 64]=30604241506062604
[210240][175][ 65]=30604241506062606
[210241][175][ 66]=30604241506062624
[210242][175][ 67]=30604241506062626
[210243][175][ 68]=30604241506240404
[210244][175][ 69]=30604241506240406
[210245][175][ 70]=30604241506240424
[210246][175][ 71]=30604241506240426
[210247][175][ 72]=30604241506240604
[210248][175][ 73]=30604241506240606
[210249][175][ 74]=30604241506240624
[210250][175][ 75]=30604241506240626
[210251][175][ 76]=30604241506242404
[210252][175][ 77]=30604241506242406
[210253][175][ 78]=30604241506242424
[210254][175][ 79]=30604241506242426
[210255][175][ 80]=30604241506242604
[210256][175][ 81]=30604241506242606
[210257][175][ 82]=30604241506242624
[210258][175][ 83]=30604241506242626
[210259][175][ 84]=30604241506260404
[210260][175][ 85]=30604241506260406
[210261][175][ 86]=30604241506260424
[210262][175][ 87]=30604241506260426
[210263][175][ 88]=30604241506260604
[210264][175][ 89]=30604241506260606
[210265][175][ 90]=30604241506260624
[210266][175][ 91]=30604241506260626
[210267][175][ 92]=30604241506262404
[210268][175][ 93]=30604241506262406
[210269][175][ 94]=30604241506262424
[210270][175][ 95]=30604241506262426
[210271][175][ 96]=30604241506262604
[210272][175][ 97]=30604241506262606
[210273][175][ 98]=30604241506262624
[210274][175][ 99]=30604241506262626
[211376][176][  0]=30604241504062605
[211377][176][  1]=30604241504062607
[211378][176][  2]=30604241504062625
[211379][176][  3]=30604241504062627
[211380][176][  4]=30604241504240405
[211381][176][  5]=30604241504240407
[211382][176][  6]=30604241504240425
[211383][176][  7]=30604241504240427
[211384][176][  8]=30604241504240605
[211385][176][  9]=30604241504240607
[211386][176][ 10]=30604241504240625
[211387][176][ 11]=30604241504240627
[211388][176][ 12]=30604241504242405
[211389][176][ 13]=30604241504242407
[211390][176][ 14]=30604241504242425
[211391][176][ 15]=30604241504242427
[211392][176][ 16]=30604241504242605
[211393][176][ 17]=30604241504242607
[211394][176][ 18]=30604241504242625
[211395][176][ 19]=30604241504242627
[211396][176][ 20]=30604241504260405
[211397][176][ 21]=30604241504260407
[211398][176][ 22]=30604241504260425
[211399][176][ 23]=30604241504260427
[211400][176][ 24]=30604241504260605
[211401][176][ 25]=30604241504260607
[211402][176][ 26]=30604241504260625
[211403][176][ 27]=30604241504260627
[211404][176][ 28]=30604241504262405
[211405][176][ 29]=30604241504262407
[211406][176][ 30]=30604241504262425
[211407][176][ 31]=30604241504262427
[211408][176][ 32]=30604241504262605
[211409][176][ 33]=30604241504262607
[211410][176][ 34]=30604241504262625
[211411][176][ 35]=30604241504262627
[211412][176][ 36]=30604241506040405
[211413][176][ 37]=30604241506040407
[211414][176][ 38]=30604241506040425
[211415][176][ 39]=30604241506040427
[211416][176][ 40]=30604241506040605
[211417][176][ 41]=30604241506040607
[211418][176][ 42]=30604241506040625
[211419][176][ 43]=30604241506040627
[211420][176][ 44]=30604241506042405
[211421][176][ 45]=30604241506042407
[211422][176][ 46]=30604241506042425
[211423][176][ 47]=30604241506042427
[211424][176][ 48]=30604241506042605
[211425][176][ 49]=30604241506042607
[211426][176][ 50]=30604241506042625
[211427][176][ 51]=30604241506042627
[211428][176][ 52]=30604241506060405
[211429][176][ 53]=30604241506060407
[211430][176][ 54]=30604241506060425
[211431][176][ 55]=30604241506060427
[211432][176][ 56]=30604241506060605
[211433][176][ 57]=30604241506060607
[211434][176][ 58]=30604241506060625
[211435][176][ 59]=30604241506060627
[211436][176][ 60]=30604241506062405
[211437][176][ 61]=30604241506062407
[211438][176][ 62]=30604241506062425
[211439][176][ 63]=30604241506062427
[211440][176][ 64]=30604241506062605
[211441][176][ 65]=30604241506062607
[211442][176][ 66]=30604241506062625
[211443][176][ 67]=30604241506062627
[211444][176][ 68]=30604241506240405
[211445][176][ 69]=30604241506240407
[211446][176][ 70]=30604241506240425
[211447][176][ 71]=30604241506240427
[211448][176][ 72]=30604241506240605
[211449][176][ 73]=30604241506240607
[211450][176][ 74]=30604241506240625
[211451][176][ 75]=30604241506240627
[211452][176][ 76]=30604241506242405
[211453][176][ 77]=30604241506242407
[211454][176][ 78]=30604241506242425
[211455][176][ 79]=30604241506242427
[211456][176][ 80]=30604241506242605
[211457][176][ 81]=30604241506242607
[211458][176][ 82]=30604241506242625
[211459][176][ 83]=30604241506242627
[211460][176][ 84]=30604241506260405
[211461][176][ 85]=30604241506260407
[211462][176][ 86]=30604241506260425
[211463][176][ 87]=30604241506260427
[211464][176][ 88]=30604241506260605
[211465][176][ 89]=30604241506260607
[211466][176][ 90]=30604241506260625
[211467][176][ 91]=30604241506260627
[211468][176][ 92]=30604241506262405
[211469][176][ 93]=30604241506262407
[211470][176][ 94]=30604241506262425
[211471][176][ 95]=30604241506262427
[211472][176][ 96]=30604241506262605
[211473][176][ 97]=30604241506262607
[211474][176][ 98]=30604241506262625
